idx	Load [N]	Left Gap [μm]	Right Gap [μm]
0	-23.84062101818438	16037.822167128645	16096.660858318795
1	-24.21024353310611	16035.191586013081	16096.660858318795
2	-23.637328642023363	16032.232182267553	16099.127361737023
3	-23.85910214353771	16036.178053930487	16101.593865168432
4	-23.803658767601405	16037.16452184901	16102.416032981828
5	-23.96998889652616	16032.56100490545	16101.593865168432
6	-23.96998889652616	16037.16452184901	16104.060368613023
7	-23.803658767601405	16037.493344488767	16099.949529546027
8	-23.692772016844287	16033.876295458274	16096.249774417036
9	-23.74821539203697	16031.90335962978	16095.016522713959
10	-23.87758326893254	16039.46628032991	16103.238200796695
11	-23.711253141867132	16032.56100490545	16101.182781262281
12	-23.96998889652616	16032.889827543471	16102.004949074946
13	-23.785177642371877	16037.493344488767	16104.060368613023
14	-23.87758326893254	16037.493344488767	16110.226627282242
15	-23.72973426693136	16033.218650181614	16103.649284704677
16	-24.13631902879888	16036.835699209376	16098.71627783307
17	-23.766696517183618	16037.16452184901	16092.961103216145
18	-23.85910214353771	16033.876295458274	16095.838690515646
19	-23.87758326893254	16034.53394073543	16100.360613451081
20	-24.302649164420586	16039.46628032991	16101.593865168432
21	-24.080875651002657	16034.862763374193	16099.949529546027
22	-23.87758326893254	16031.574536992131	16101.182781262281
23	-23.98847002216894	16039.13745768941	16103.649284704677
24	-23.563404142840454	16035.191586013081	16104.882536430818
25	-23.96998889652616	16034.53394073543	16104.471452521739
26	-23.98847002216894	16037.16452184901	16099.538445641343
27	-23.74821539203697	16037.493344488767	16100.360613451081
28	-23.914545519846	16033.218650181614	16096.660858318795
29	-23.8221398928722	16034.53394073543	16097.89411002626
30	-23.74821539203697	16037.822167128645	16099.949529546027
31	-23.85910214353771	16033.547472819882	16099.949529546027
32	-24.13631902879888	16033.218650181614	16101.593865168432
33	-23.637328642023363	16038.808635049034	16097.89411002626
34	-23.692772016844287	16033.876295458274	16098.71627783307
35	-24.21024353310611	16033.218650181614	16097.89411002626
36	-23.61884751716559	16036.835699209376	16100.360613451081
37	-23.8221398928722	16036.178053930487	16100.360613451081
38	-23.8221398928722	16032.889827543471	16099.127361737023
